trip_time,avg_speed,max_speed,stops_count,acceleration_variation,route_distance,trip_number,time_of_day,weight
64.09,48.11,55.19,4,1.003,33.967,42,16,18.11
92.85,39.77,47.6,6,1.128,36.71,102,21,22.78
43.36,49.75,63.58,2,1.002,24.68,29,11,18.35
16.17,55.99,64.98,3,0.871,10.563,151,15,12.96
192.99,32.82,48.11,11,1.798,54.636,105,20,29.12
44.21,54.35,63.31,0,0.85,27.394,73,10,16.38
47.37,55.65,65.75,5,0.999,28.609,50,5,18.1
48.24,50.68,58.87,5,1.091,26.145,124,19,17.31
18.84,48.49,65.18,3,0.913,9.563,147,0,19.02
94.13,45.51,61.64,4,0.996,43.088,206,6,21.84
108.41,39.79,51.83,7,1.66,40.738,96,3,26.8
32.22,46.07,55.73,6,1.385,14.97,36,15,20.54
38.83,46.79,57.89,3,0.834,20.332,183,6,17.35
56.71,53.89,63.17,1,0.762,34.666,138,8,18.56
53.7,45.99,53.35,2,0.903,25.903,154,15,20.19
123.83,45.27,54.89,4,1.178,57.893,22,7,22.29
77.07,43.07,50.58,5,1.27,32.069,69,8,23.07
157.39,36.26,49.81,9,1.636,51.935,169,11,27.51
36.45,45.11,56.86,6,1.28,17.038,183,2,22.27
54.9,55.48,67.36,1,0.864,35.145,96,22,16.36
43.53,52.43,65.84,5,1.128,23.072,177,23,22.47
174.75,33.55,40.98,10,1.778,54.627,185,17,24.13
83.91,43.6,60.25,8,1.67,34.886,85,2,24.84
93.86,43.01,60.53,6,1.163,40.178,197,11,21.36
14.7,57.55,67.53,3,0.85,10.415,64,8,9.09
54.82,50.89,63.43,2,0.616,31.616,53,3,17.9
78.57,44.56,54.4,4,1.142,36.343,150,21,21.55
33.79,53.04,70.1,1,0.803,21.456,140,9,15.75
101.7,44.55,56.27,5,1.184,44.392,31,15,24.6
62.34,48.13,60.52,5,1.18,30.529,183,16,21.65
71.83,47.89,56.28,3,0.938,35.407,44,7,19.95
48.79,49.89,61.22,6,1.201,25.088,177,8,19.43
94.78,41.37,54.88,3,0.994,41.34,2,23,20.51
22.24,51.11,58.93,5,1.256,11.813,175,19,18.63
82.88,40.15,53.08,4,1.079,32.571,173,12,26.22
124.56,44.06,61.52,6,1.234,52.625,171,12,24.26
39.5,46.4,56.92,7,1.484,18.612,146,0,20.64
147.16,37.0,53.41,7,1.208,51.225,104,4,26.45
131.14,41.6,48.63,5,1.234,52.08,155,0,28.42
39.7,46.53,59.47,7,1.343,18.367,61,19,22.06
16.21,55.64,67.58,2,0.728,10.657,171,22,15.52
100.12,43.69,55.18,2,0.936,45.868,122,3,21.9
117.17,45.75,57.08,6,1.331,55.867,101,6,21.21
43.19,45.35,54.68,7,1.454,19.669,111,8,23.11
117.64,45.47,53.04,4,1.211,53.52,125,19,23.84
21.13,62.87,74.08,2,0.614,17.221,9,9,7.33
52.41,48.0,65.3,6,1.042,25.004,31,1,23.1
153.17,37.55,54.78,9,1.755,52.124,54,14,28.91
35.94,51.94,65.45,3,0.584,22.159,26,3,13.7
103.32,43.08,55.84,2,1.161,45.418,97,15,23.58
20.23,59.16,69.92,0,0.429,14.069,147,20,14.66
65.6,39.88,57.65,5,1.027,26.006,144,1,24.27
152.01,40.44,53.81,9,1.604,54.948,104,23,26.32
36.09,47.31,56.76,4,1.089,18.154,188,15,20.46
104.06,39.45,56.19,2,0.93,42.638,124,1,22.64
101.99,45.13,60.8,3,0.959,53.857,18,5,17.93
143.28,36.69,47.48,10,1.846,46.925,168,4,28.44
154.75,36.87,44.13,6,1.137,55.321,126,21,25.42
131.53,41.42,56.38,4,1.203,55.103,140,17,23.6
17.79,57.75,72.26,2,0.765,12.352,124,8,14.1
82.02,42.55,56.92,4,0.922,37.486,122,12,18.53
51.59,48.47,61.24,4,1.026,28.485,20,8,17.57
101.03,43.08,52.94,4,1.195,41.661,123,9,28.03
123.17,38.49,47.79,9,1.787,44.741,175,15,26.77
41.72,44.2,57.5,5,0.983,19.13,67,4,20.02
109.38,43.27,58.09,4,1.09,47.693,133,18,23.83
54.61,47.49,61.77,6,1.367,27.574,7,22,19.04
89.81,44.2,55.63,7,1.495,40.322,77,23,21.8
53.46,49.3,63.55,4,1.026,28.527,96,4,18.65
39.02,56.19,67.6,3,0.802,24.325,216,9,17.8
96.56,45.39,60.52,5,0.921,42.236,47,6,22.47
76.54,44.91,54.23,4,1.136,34.408,61,15,23.26
88.92,50.88,59.48,0,0.698,50.426,90,7,18.09
119.76,41.51,52.28,4,0.918,46.979,218,9,25.43
158.18,34.76,52.59,9,1.645,51.219,187,3,27.02
116.59,38.86,52.39,3,0.947,45.937,8,13,24.04
111.12,46.07,61.39,2,0.69,53.717,52,12,20.62
25.85,50.97,68.42,6,1.052,14.568,180,13,15.61
77.76,48.51,56.28,4,1.04,39.485,13,8,19.57
18.13,52.42,66.33,4,1.134,10.744,188,18,17.77
66.85,48.87,65.48,4,1.0,32.232,62,14,22.18
153.23,35.85,52.84,8,1.525,50.859,201,4,26.26
82.87,48.15,59.64,5,1.311,43.868,65,8,18.54
74.04,47.87,56.61,3,1.194,36.521,96,15,21.28
105.67,39.61,51.7,3,1.001,42.24,145,2,20.57
21.1,57.82,74.54,2,0.849,15.424,28,8,11.95
149.01,38.82,54.64,7,1.269,54.436,122,20,24.84
26.46,56.74,71.37,5,1.029,17.442,111,10,16.04
21.65,54.86,65.16,1,0.694,15.099,172,12,14.13
25.14,47.97,65.72,3,0.819,13.71,219,16,16.59
155.79,39.17,49.03,8,1.474,54.715,146,7,30.92
52.86,54.82,65.38,5,1.023,30.234,90,19,17.52
89.0,40.61,56.09,6,1.439,33.953,89,0,22.23
46.77,51.63,69.18,4,1.103,26.02,92,11,18.89
11.8,55.61,64.56,3,0.99,7.905,179,14,12.94
15.13,55.94,70.22,1,0.534,9.933,71,5,13.68
10.09,57.82,72.11,1,0.62,7.312,37,18,11.3
63.55,47.69,64.59,1,0.677,34.258,74,1,18.4
24.48,55.87,73.36,3,0.973,16.464,5,15,13.37
46.58,51.12,65.5,1,0.746,27.209,24,15,16.81
47.03,57.21,66.65,2,0.842,30.207,20,18,17.53
91.84,38.64,48.8,3,1.067,33.928,169,4,25.17
139.6,37.96,51.47,2,0.953,52.479,159,3,26.6
12.82,58.88,68.7,3,0.751,8.727,153,13,15.52
80.1,42.12,52.44,3,1.169,31.953,102,23,24.84
20.41,56.51,67.64,2,0.766,13.291,158,18,15.62
141.39,39.08,54.14,6,1.636,54.216,36,5,24.75
142.47,36.83,53.34,3,1.345,53.749,198,9,26.45
19.83,55.45,71.87,2,0.796,13.707,110,6,12.21
20.13,57.59,69.76,2,0.832,12.544,206,18,18.24
15.83,59.42,69.76,1,0.493,12.158,34,12,8.86
21.38,48.66,57.23,8,1.139,11.551,109,10,14.53
21.94,54.2,65.64,2,0.858,14.642,153,0,14.79
23.11,53.55,69.14,3,0.928,14.518,109,15,14.51
25.41,52.27,62.82,2,0.762,14.92,98,10,16.36
21.27,55.86,72.26,5,0.847,14.152,37,0,11.29
66.13,39.56,47.79,7,1.197,25.963,84,4,20.93
38.28,46.48,58.39,3,1.161,19.576,53,17,18.55
51.81,50.11,63.9,4,1.099,27.98,67,17,19.5
161.15,36.65,54.16,10,1.683,52.528,150,11,27.1
50.22,46.88,54.17,5,1.332,24.626,139,18,21.25
30.36,59.18,72.47,3,0.795,21.253,133,17,12.32
130.12,39.57,55.29,5,1.026,53.589,80,14,21.7
46.84,46.99,63.78,6,1.119,23.063,211,5,19.54
21.17,54.79,72.77,1,0.718,12.783,20,10,16.33
84.75,44.0,56.37,3,1.105,38.378,76,19,20.28
38.74,52.27,67.49,3,1.137,21.012,26,7,19.02
63.17,46.85,62.59,1,0.819,33.278,75,15,18.77
118.79,39.61,46.99,5,1.062,46.051,211,19,23.64
71.74,48.89,66.63,5,0.995,35.627,81,12,20.65
146.08,36.6,54.13,7,1.427,48.152,199,12,29.29
35.68,57.22,66.47,3,0.831,24.252,109,4,14.95
29.45,45.75,53.5,5,1.101,15.187,154,11,16.65
50.05,49.37,67.12,2,0.959,26.825,101,1,22.29
51.48,50.05,64.33,9,1.644,27.714,59,2,18.41
94.09,44.04,53.24,2,0.808,43.372,168,13,21.23
90.7,46.14,53.6,6,1.231,41.872,213,5,23.07
34.66,56.32,66.13,2,0.853,22.433,58,8,16.1
129.23,43.75,52.01,5,1.14,54.36,171,8,25.58
27.86,56.18,72.55,1,0.572,20.693,58,11,10.43
196.46,30.44,40.61,5,1.087,57.818,157,16,24.32
11.92,58.23,73.07,4,0.86,8.184,173,10,11.93
89.05,45.56,61.05,3,1.304,41.198,99,20,23.52
75.49,45.46,55.68,1,0.936,38.441,162,11,21.17
67.4,50.36,61.07,3,1.002,36.624,60,23,17.28
107.98,43.3,53.19,4,1.109,46.626,18,23,20.16
85.87,41.46,49.47,5,1.276,36.93,22,10,21.96
74.63,48.8,62.68,4,1.173,37.911,98,18,19.12
164.1,34.15,41.72,6,1.495,51.684,198,10,28.27
24.2,59.21,76.26,2,1.018,16.117,28,21,16.18
60.0,52.46,64.55,3,1.001,33.855,100,18,18.18
111.43,40.62,51.62,7,1.368,43.173,155,8,25.29
34.68,54.64,69.79,3,0.72,22.356,45,7,12.79
26.59,51.14,62.7,0,0.642,17.803,159,21,15.22
20.75,54.45,64.22,6,1.046,13.138,68,12,12.39
35.91,55.71,70.64,4,0.97,20.028,178,16,21.13
78.97,50.39,67.84,5,1.046,40.803,127,16,21.27
95.08,43.34,55.12,8,1.417,38.171,120,3,23.03
22.97,55.84,68.5,4,0.817,15.345,39,5,13.85
53.9,50.58,68.06,2,0.63,31.794,102,21,17.0
34.51,48.44,63.73,5,1.119,17.509,188,6,18.15
117.34,45.58,58.79,4,1.111,54.703,5,20,22.83
116.9,38.96,52.73,6,1.306,43.793,167,8,25.71
21.35,58.42,75.94,1,0.51,15.426,108,20,10.93
28.92,56.4,69.95,1,0.644,21.42,158,13,11.39
148.1,37.37,50.08,7,1.577,50.434,146,2,28.4
75.57,44.2,60.22,4,1.15,35.192,95,6,21.54
41.45,53.41,66.88,6,1.011,24.832,68,22,16.59
116.35,36.26,44.79,10,1.509,37.319,138,4,27.0
43.75,52.2,68.52,1,0.536,26.558,31,5,14.75
129.25,44.44,53.19,7,1.458,53.439,128,3,24.15
139.74,39.34,48.46,6,1.227,51.487,21,14,27.13
25.49,57.3,72.95,4,1.139,14.76,143,19,20.9
106.67,40.58,48.17,5,1.352,41.389,138,22,23.32
139.45,38.15,49.37,3,1.075,49.636,19,21,28.97
29.82,50.03,60.95,2,0.827,17.379,166,21,15.3
127.79,41.9,49.39,5,1.153,51.383,92,21,24.02
54.31,47.63,60.0,3,0.812,28.107,173,13,18.05
30.86,58.6,70.99,0,0.496,22.348,10,19,10.98
141.72,42.16,58.09,5,1.195,57.179,40,15,25.14
97.9,41.28,56.97,2,0.975,41.932,109,3,21.69
37.44,51.98,62.82,5,1.004,21.461,42,0,17.3
72.74,43.05,57.23,2,0.9,33.779,73,2,21.11
112.37,37.01,50.37,4,1.193,39.638,145,8,28.51
99.53,43.32,57.44,5,1.261,43.165,32,11,25.63
32.6,49.68,67.41,4,1.062,17.284,149,15,20.48
64.96,52.42,61.12,3,1.042,38.255,23,12,18.54
126.4,40.15,47.51,5,1.173,50.134,39,8,23.21
100.88,45.32,52.79,4,1.177,47.888,129,17,22.91
36.87,53.42,67.82,4,0.789,21.655,174,20,16.13
202.17,31.72,47.61,8,1.417,56.465,38,5,30.07
10.0,63.88,81.46,4,0.926,7.148,66,6,8.82
165.74,29.66,47.63,4,1.278,46.619,203,22,29.81
41.44,44.87,61.96,4,0.823,22.831,217,23,16.12
149.37,38.62,52.64,5,1.617,54.972,128,7,28.56
121.52,44.19,54.87,8,1.414,50.844,98,12,23.99
143.87,37.65,45.94,4,1.096,51.88,76,13,26.97
41.91,45.05,62.25,3,0.922,19.471,135,15,20.75
97.33,44.44,62.36,4,0.945,47.515,130,20,17.65
53.71,42.47,50.74,8,1.413,23.632,65,2,21.16
64.88,46.26,60.69,3,0.932,29.531,5,12,25.47
144.5,37.09,46.09,5,1.39,53.073,34,5,26.61
106.03,41.06,49.29,4,1.132,43.603,210,18,24.42
87.52,48.22,56.45,8,1.519,39.489,92,14,25.0
16.0,62.06,69.19,4,0.735,13.142,106,17,7.3
99.75,36.82,53.9,7,1.467,34.222,103,21,24.84
22.72,52.38,68.28,3,1.031,12.861,172,18,18.09
11.28,66.77,76.11,0,0.459,10.364,15,20,9.15
118.59,43.75,56.28,2,0.927,55.249,19,19,21.79
88.36,40.69,53.46,4,1.16,37.009,61,15,20.83
10.0,57.68,73.81,0,0.714,6.817,107,9,12.99
49.18,54.82,66.81,2,0.84,30.655,147,8,16.82
29.08,58.38,74.9,1,0.7,21.267,108,8,14.96
26.23,48.39,65.95,6,1.248,14.426,97,14,16.34
98.15,50.24,67.5,3,1.128,48.685,206,19,22.68
18.36,62.53,72.27,1,0.49,14.411,36,8,13.68
31.11,45.52,60.69,2,1.058,15.067,126,13,21.17
27.53,55.67,65.04,5,1.001,18.479,119,9,11.88
103.03,41.16,48.5,3,1.133,43.191,104,14,23.25
31.44,49.89,67.5,5,1.054,16.323,177,19,19.64
40.12,51.51,67.37,4,0.933,23.05,59,9,15.95
181.23,34.02,51.55,9,1.623,52.971,209,9,30.1
92.62,39.93,47.09,6,1.384,35.605,73,4,24.83
24.58,55.2,64.7,3,0.981,15.41,120,11,15.09
145.04,39.03,46.24,7,1.487,50.785,115,10,27.68
78.09,41.64,51.89,4,1.124,32.876,187,3,23.09
105.34,46.98,56.01,6,1.255,49.463,97,23,23.24
13.97,59.65,76.82,1,0.714,10.555,63,20,10.09
19.48,61.93,76.03,2,0.818,14.834,5,6,10.36
15.13,58.29,72.87,3,0.886,11.228,80,22,9.84
72.09,42.88,56.01,3,1.066,31.284,181,6,23.34
54.63,47.58,60.84,3,1.004,26.45,3,10,20.2
63.78,44.55,56.64,5,1.278,27.924,197,3,24.48
48.81,48.74,64.98,3,1.002,25.377,119,14,19.5
46.72,53.16,67.06,3,0.972,28.344,31,11,16.42
43.82,53.41,68.25,2,0.909,26.134,67,6,17.73
22.46,55.83,63.96,1,0.639,14.723,122,6,14.88
70.71,46.48,60.93,2,0.881,35.808,70,22,21.87
126.06,41.82,56.48,7,1.427,51.262,24,16,22.53
197.16,34.16,51.41,9,1.516,57.695,146,3,32.07
20.68,55.14,65.92,5,1.15,12.541,148,3,17.8
47.62,52.56,69.99,4,0.992,27.679,27,1,13.3
35.84,48.53,61.8,3,0.957,18.916,62,5,17.26
78.82,44.12,61.49,3,1.008,35.695,54,17,21.57
42.94,51.92,61.33,5,1.171,25.059,145,1,15.65
147.01,38.22,49.2,4,1.111,51.704,160,5,28.52
139.8,40.1,57.64,3,0.991,54.663,160,0,27.25
48.15,48.31,55.43,4,1.319,23.242,206,15,25.45
46.02,51.01,64.98,4,1.263,24.856,169,19,19.96
64.34,48.84,60.67,4,1.146,34.051,71,12,19.66
79.64,48.14,64.68,3,1.005,39.229,24,21,22.12
116.88,38.78,47.55,5,1.236,45.252,135,16,22.03
18.49,53.13,70.8,3,0.81,11.654,201,18,16.98
16.75,49.17,57.31,6,1.165,9.131,214,7,13.47
78.14,46.96,57.25,1,0.854,41.429,51,20,18.57
54.87,49.16,58.86,4,1.091,31.152,52,15,17.7
92.82,44.38,54.07,5,1.256,41.147,9,2,20.16
41.46,48.28,64.41,3,1.071,22.033,31,1,18.01
28.89,45.71,61.91,0,0.833,15.367,122,21,16.34
18.55,56.02,69.8,3,0.767,12.229,120,6,15.63
127.89,40.27,50.68,8,1.663,46.996,82,11,28.06
55.85,46.19,64.18,5,1.163,27.256,68,18,21.42
12.92,65.05,77.3,1,0.65,10.768,182,18,11.05
35.19,52.98,66.51,5,1.035,19.208,101,0,17.33
147.89,34.59,44.78,6,1.129,50.868,178,14,24.82
85.52,39.75,53.6,10,1.428,31.299,211,21,24.31
99.92,50.16,62.72,4,1.102,50.447,70,8,20.18
111.69,46.31,63.62,1,0.974,55.185,45,13,21.74
16.54,54.43,63.87,1,0.721,9.948,209,6,17.26
141.44,40.97,55.62,6,1.336,55.076,140,17,28.12
41.09,53.03,67.76,0,0.548,25.61,64,2,14.31
102.96,40.15,48.78,5,1.159,42.461,137,12,20.77
67.71,41.85,52.8,8,1.461,27.261,113,9,24.68
101.67,38.76,47.21,7,1.599,38.153,199,15,25.78
88.0,45.43,53.32,4,1.132,40.993,57,11,22.34
19.78,56.02,64.55,3,0.964,13.349,218,23,12.39
67.56,43.76,59.19,11,1.633,28.703,205,23,21.84
26.45,54.56,70.15,3,0.98,17.139,40,6,14.95
17.36,54.87,70.92,3,0.86,12.644,37,0,9.34
83.38,42.71,56.16,3,1.167,36.985,117,11,21.53
74.59,50.81,64.17,3,0.831,41.534,10,14,15.25
30.46,54.81,65.14,2,0.922,19.765,66,18,15.97
10.0,60.29,67.91,2,0.734,6.877,96,12,11.06
168.91,35.32,45.7,4,1.095,56.494,213,14,26.81
70.12,44.26,54.57,8,1.491,30.955,218,0,23.32
68.91,51.6,59.52,1,0.751,40.069,34,18,16.68
18.53,51.3,60.15,1,0.723,10.374,196,7,17.68
76.42,46.6,60.52,5,1.098,38.441,20,9,19.37
100.48,45.86,52.89,6,1.262,45.774,164,10,24.28
14.22,55.02,64.2,2,0.846,8.94,186,1,16.25
76.43,42.21,56.51,1,0.74,33.464,196,11,23.42
16.99,64.1,74.58,0,0.605,13.814,49,9,12.64
26.76,50.43,60.96,5,1.114,14.066,196,5,18.16
72.88,49.03,58.25,1,0.712,38.162,26,5,19.86
128.77,34.8,51.71,8,1.597,38.392,114,0,30.76
81.1,43.25,54.54,6,1.236,35.019,103,21,22.42
74.72,43.52,60.19,4,1.132,32.774,70,7,22.95
54.51,50.69,59.45,4,0.979,30.704,5,20,15.15
60.21,48.81,55.92,5,0.886,31.283,170,20,20.1
41.14,51.84,59.55,2,0.784,23.725,74,10,17.96
43.25,45.57,58.02,4,1.51,19.752,145,19,22.33
38.13,49.89,64.22,3,1.063,20.181,90,5,17.11
190.76,32.65,48.46,10,1.809,53.267,82,4,29.06
37.7,52.13,59.94,7,1.121,20.235,195,21,20.07
47.24,50.1,58.78,4,0.937,25.787,21,15,17.82
66.74,44.38,51.85,2,0.72,32.46,162,16,18.91
99.75,43.62,58.99,2,1.078,44.749,164,22,24.51
112.96,41.39,49.86,3,0.921,46.521,84,0,24.07
109.94,40.81,52.27,9,1.348,43.666,58,4,24.38
32.35,56.36,63.45,0,0.628,22.106,2,23,13.56
28.06,47.99,65.85,5,0.888,14.899,206,3,15.34
139.18,38.18,55.09,9,1.461,48.577,208,10,26.93
145.38,38.1,53.63,7,1.496,51.536,53,0,28.11
111.15,48.94,56.61,4,1.318,53.516,7,7,23.71
112.57,45.28,61.48,4,1.24,50.705,27,4,22.92
39.63,54.85,68.45,4,0.868,25.111,15,6,13.09
23.68,52.49,63.51,4,0.75,14.406,183,19,16.33
68.18,51.14,67.6,1,0.856,41.027,196,6,15.84
65.78,53.84,68.37,3,0.914,39.945,34,19,15.41
33.35,51.18,62.09,4,0.975,19.267,164,21,16.74
80.41,45.85,60.11,6,1.16,38.441,40,12,20.59
164.24,36.78,52.11,6,1.304,57.91,81,12,27.38
24.9,51.37,64.26,2,0.933,15.179,132,8,14.95
47.22,50.25,57.7,3,0.934,25.997,158,16,17.67
47.85,48.27,57.7,1,0.814,26.639,192,19,16.19
25.64,55.16,69.85,1,0.626,17.497,10,20,13.81
107.02,43.78,51.71,6,1.225,47.086,44,4,24.85
105.68,41.71,48.76,6,1.326,42.926,62,16,24.14
31.47,50.54,63.78,0,0.654,17.674,68,3,17.05
199.27,29.41,40.56,11,1.558,50.676,219,11,31.02
52.56,49.47,62.0,2,0.832,28.429,171,2,19.6
61.38,54.65,66.81,2,0.922,34.872,71,13,17.78
92.59,44.65,57.03,3,1.19,41.772,213,20,22.93
136.7,39.47,50.3,7,1.491,51.519,110,19,24.99
31.72,52.47,70.36,3,1.007,18.182,110,17,17.58
71.21,49.71,60.79,7,1.412,37.006,95,13,19.36
107.1,39.64,57.41,5,1.192,41.086,32,14,25.27
159.59,34.66,43.06,4,1.16,52.149,205,2,27.61
101.03,45.35,54.6,2,1.119,46.273,4,17,24.13
122.95,41.92,52.25,2,1.161,53.593,39,16,23.5
13.19,59.39,70.61,3,0.648,10.374,51,3,6.6
53.0,49.31,65.5,4,1.043,28.411,62,15,17.41
38.44,50.77,65.12,2,0.886,22.276,29,9,15.51
53.07,53.73,70.55,2,0.678,32.105,4,12,17.4
102.73,45.19,58.16,4,1.178,48.257,149,19,21.01
66.12,47.23,61.82,6,1.429,31.867,213,7,19.67
13.66,53.7,64.56,7,1.461,8.31,27,22,13.88
130.78,34.02,48.6,10,1.673,41.047,65,10,26.1
11.6,51.2,67.35,2,0.85,7.03,111,12,14.77
18.11,54.96,63.32,1,0.739,11.534,204,0,14.83
112.24,40.91,52.28,6,1.454,43.978,153,2,24.41
124.07,38.66,55.02,6,1.096,49.297,168,6,22.3
36.68,50.96,59.29,1,0.628,22.883,128,23,15.51
79.56,46.33,62.67,9,1.38,35.804,92,6,22.84
56.37,54.42,65.83,4,1.079,34.68,44,9,14.86
22.0,43.92,58.0,9,1.556,9.363,190,20,18.51
84.28,41.49,54.72,5,1.207,34.56,177,7,24.65
10.0,59.26,66.59,1,0.495,7.065,6,19,11.74
118.05,40.04,51.69,6,1.149,48.728,157,2,22.81
86.78,47.59,59.11,4,1.018,45.029,19,3,19.99
41.09,47.41,63.93,2,0.921,21.111,162,0,19.91
33.62,53.65,67.16,5,1.154,20.01,181,2,20.32
26.01,52.84,60.94,1,0.858,16.291,29,14,12.96
135.96,41.91,58.16,6,1.314,55.567,96,2,24.55
142.58,35.56,46.32,4,1.082,50.058,28,14,23.79
106.64,43.24,53.67,3,1.028,49.643,125,14,21.45
58.48,49.3,65.65,6,1.326,30.51,204,5,17.22
109.86,42.4,52.52,3,1.195,48.293,18,0,23.08
104.19,37.14,50.3,4,1.477,36.966,88,3,27.28
47.03,44.61,61.77,4,1.337,21.922,214,3,22.36
63.15,45.55,54.6,6,1.075,28.667,66,12,20.19
55.4,47.2,62.88,5,1.52,27.568,29,22,19.84
46.22,48.46,65.45,5,1.088,24.619,107,10,17.8
30.38,52.65,63.91,2,0.726,18.978,112,15,13.81
53.15,46.22,58.5,6,1.146,27.01,146,7,18.36
97.9,39.01,51.69,4,1.074,37.364,69,2,25.87
28.76,52.24,60.73,4,0.911,16.604,210,5,13.74
23.27,50.57,63.73,3,0.855,13.805,115,11,14.66
81.85,46.36,64.11,2,1.031,42.047,63,20,21.02
74.46,45.15,58.12,2,0.93,33.606,211,5,21.45
53.83,44.43,58.52,6,1.379,24.637,203,23,20.75
179.94,33.78,49.38,10,1.915,53.257,110,15,29.69
54.04,51.11,58.96,0,0.89,30.258,6,8,18.89
57.56,41.6,56.19,6,1.368,23.584,131,14,22.53
37.83,47.27,64.94,5,1.261,17.637,122,16,22.51
45.17,47.72,63.31,5,1.185,23.143,33,16,17.71
37.06,48.07,58.24,2,1.061,20.598,139,20,14.74
157.88,37.08,48.93,8,1.798,51.141,185,15,31.83
134.65,39.62,49.54,5,1.347,52.437,24,0,26.08
41.4,58.14,74.3,5,1.324,27.748,159,9,16.52
35.94,48.71,66.17,1,0.941,19.939,31,21,18.59
21.52,52.68,65.9,3,1.189,13.213,164,4,15.74
